1=clockwise	mantisse_flowrate	exponent_flowrate	temperature_top	temperature_bottom	temperature_spiral_middle_outlet	temperature_spiral_edge_outlet	voltage	current	European_standard_time_date	European_standard_time_of_day	time_t
1	3600	-2	69.7	70.52	50.78	37.4	16.69	0.18811	3.9.2015	14:32:00	1441290720
1	3600	-2	69.56	70.04	51.37	37.3	16.7	0.18811	3.9.2015	14:32:01	1441290721
1	3600	-2	69.7	70.21	50.68	38.09	16.69	0.18778	3.9.2015	14:32:02	1441290722
1	3600	-2	69.66	70.25	50.59	37.89	16.71	0.18761	3.9.2015	14:32:03	1441290723
1	3600	-2	69.6	70.52	50.1	37.4	16.73	0.18826	3.9.2015	14:32:04	1441290724
1	3600	-2	69.68	70.54	50.1	38.09	16.7	0.18878	3.9.2015	14:32:05	1441290725
1	3600	-2	69.54	70.49	50.1	38.18	16.73	0.18763	3.9.2015	14:32:06	1441290726
1	3600	-2	69.58	70.65	50.39	37.7	16.72	0.18794	3.9.2015	14:32:08	1441290728
1	3600	-2	69.32	70.58	50.1	38.67	16.72	0.18792	3.9.2015	14:32:09	1441290729
1	3600	-2	69.62	70.66	49.9	37.5	16.74	0.18863	3.9.2015	14:32:10	1441290730
1	3600	-2	69.45	70.73	50.68	38.18	16.71	0.18806	3.9.2015	14:32:11	1441290731
1	3600	-2	69.36	70.41	50.49	37.4	16.73	0.18944	3.9.2015	14:32:12	1441290732
1	3600	-2	69.33	70.59	49.71	37.79	16.72	0.18909	3.9.2015	14:32:13	1441290733
1	3600	-2	69.26	70.29	49.61	37.89	16.7	0.1885	3.9.2015	14:32:15	1441290735
1	3600	-2	68.94	70.03	49.9	37.7	16.72	0.18727	3.9.2015	14:32:16	1441290736
1	3600	-2	68.92	70.34	50	38.18	16.72	0.18966	3.9.2015	14:32:17	1441290737
1	3600	-2	68.96	70.31	49.12	38.38	16.7	0.18831	3.9.2015	14:32:18	1441290738
1	3600	-2	69.12	70.21	50	38.09	16.73	0.18839	3.9.2015	14:32:19	1441290739
1	3600	-2	69.07	69.92	49.22	38.48	16.7	0.18807	3.9.2015	14:32:20	1441290740
1	3600	-2	69.04	69.7	49.41	37.79	16.72	0.18772	3.9.2015	14:32:22	1441290742
1	3600	-2	69.05	69.46	49.32	37.89	16.74	0.18791	3.9.2015	14:32:23	1441290743
1	3600	-2	68.67	69.08	49.32	37.89	16.71	0.18869	3.9.2015	14:32:24	1441290744
1	3600	-2	68.76	69.3	49.22	37.7	16.75	0.18787	3.9.2015	14:32:25	1441290745
1	3600	-2	68.81	69.07	49.02	38.57	16.74	0.18743	3.9.2015	14:32:26	1441290746
1	3600	-2	69.22	69.18	49.32	38.38	16.71	0.18777	3.9.2015	14:32:27	1441290747
1	3600	-2	68.93	69.15	49.22	37.6	16.74	0.18804	3.9.2015	14:32:28	1441290748
1	3600	-2	68.77	68.64	49.32	38.87	16.72	0.18847	3.9.2015	14:32:30	1441290750
1	3600	-2	68.49	68.43	48.44	38.48	16.72	0.18861	3.9.2015	14:32:31	1441290751
1	3600	-2	68.68	68.33	49.02	38.28	16.74	0.18912	3.9.2015	14:32:32	1441290752
1	3600	-2	68.51	68.51	48.73	38.48	16.72	0.18667	3.9.2015	14:32:33	1441290753
1	3600	-2	68.53	68.16	49.22	38.28	16.73	0.18762	3.9.2015	14:32:34	1441290754
1	3600	-2	68.79	68.21	49.02	38.38	16.73	0.1883	3.9.2015	14:32:35	1441290755
1	3600	-2	68.5	67.89	48.44	38.28	16.69	0.18574	3.9.2015	14:32:37	1441290757
1	3600	-2	68.55	67.95	48.14	38.09	16.73	0.1879	3.9.2015	14:32:38	1441290758
1	3600	-2	68.49	67.84	48.54	38.18	16.72	0.18776	3.9.2015	14:32:39	1441290759
1	3600	-2	68.51	67.81	48.44	38.38	16.71	0.18796	3.9.2015	14:32:40	1441290760
1	3600	-2	68.34	67.88	48.14	38.48	16.73	0.18791	3.9.2015	14:32:41	1441290761
1	3600	-2	68.12	67.85	48.83	38.28	16.72	0.18874	3.9.2015	14:32:42	1441290762
1	3600	-2	68.2	67.69	48.05	38.28	16.75	0.18765	3.9.2015	14:32:43	1441290763
1	3600	-2	68.29	67.41	48.93	38.38	16.74	0.18793	3.9.2015	14:32:45	1441290765
1	3600	-2	68.4	67.6	48.05	39.06	16.73	0.18783	3.9.2015	14:32:46	1441290766
1	3600	-2	68.19	67.2	47.75	38.18	16.76	0.18788	3.9.2015	14:32:47	1441290767
1	3600	-2	68.34	66.91	48.05	38.48	16.72	0.18816	3.9.2015	14:32:48	1441290768
1	3600	-2	68.27	66.76	48.14	38.09	16.74	0.18882	3.9.2015	14:32:49	1441290769
1	3600	-2	68.09	66.65	48.14	38.18	16.75	0.18887	3.9.2015	14:32:50	1441290770
1	3600	-2	67.96	66.2	48.14	37.79	16.71	0.1894	3.9.2015	14:32:52	1441290772
1	3600	-2	68.13	66.51	48.44	38.87	16.76	0.18899	3.9.2015	14:32:53	1441290773
1	3600	-2	68.19	66.07	48.05	38.96	16.72	0.18853	3.9.2015	14:32:54	1441290774
1	3600	-2	67.95	66.39	47.85	38.48	16.73	0.18957	3.9.2015	14:32:55	1441290775
1	3600	-2	67.85	66.73	47.75	38.18	16.73	0.18802	3.9.2015	14:32:56	1441290776
1	3600	-2	68.17	66.44	47.46	38.57	16.72	0.18807	3.9.2015	14:32:57	1441290777
1	3600	-2	68.03	67.05	48.05	39.06	16.76	0.18819	3.9.2015	14:32:59	1441290779
1	3600	-2	67.91	66.78	47.75	38.77	16.72	0.19001	3.9.2015	14:33:00	1441290780
1	3600	-2	67.78	66.78	47.46	38.38	16.75	0.18803	3.9.2015	14:33:01	1441290781
1	3600	-2	67.69	67.2	47.36	38.77	16.74	0.18984	3.9.2015	14:33:02	1441290782
1	3600	-2	67.75	66.73	47.75	38.77	16.73	0.18871	3.9.2015	14:33:03	1441290783
1	3600	-2	67.88	67.13	47.85	38.57	16.77	0.18966	3.9.2015	14:33:04	1441290784
1	3600	-2	67.86	67.38	48.05	39.06	16.75	0.19	3.9.2015	14:33:05	1441290785
1	3600	-2	67.59	67.81	48.14	38.48	16.75	0.18789	3.9.2015	14:33:07	1441290787
1	3600	-2	67.62	68.24	47.56	38.96	16.78	0.1876	3.9.2015	14:33:08	1441290788
1	3600	-2	67.69	68.47	47.36	38.96	16.74	0.18815	3.9.2015	14:33:09	1441290789
1	3600	-2	67.49	68.74	47.46	38.96	16.78	0.18826	3.9.2015	14:33:10	1441290790
1	3600	-2	67.53	68.89	47.56	38.57	16.77	0.18874	3.9.2015	14:33:11	1441290791
